ID,Nome,WhatsApp,Bairro,Tipo Negócio,Data Contato,Versão Mensagem,Respondeu?,Data Resposta,Aceitou Testar?,Data Início,Entrevistado?,Data Entrevista,Insights Chave,Caso Sucesso?,Status
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
